Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
I resampled these to 1-nm intervals and converted to photons 
assuming that all of the light was at the center of the bin.
Wavelength [nm]	Spectral Irradiance [ph/cm2/s/nm]
730.5	2.0457283873387178e14
731.5	2.0439438332840884e14
732.5	2.0421944035926703e14
733.5	2.040368934372129e14
734.5	2.0386105365274612e14
735.5	2.0366483544798156e14
736.5	2.034625369003791e14
737.5	2.032797308019493e14
738.5	2.0309728147769353e14
739.5	2.0292481857705006e14
740.5	2.027672057236371e14
741.5	2.0263094076198562e14
742.5	2.025145044197012e14
743.5	2.0240346848892603e14
744.5	2.022978589957397e14
745.5	2.021896176152576e14
746.5	2.0208197591902547e14
747.5	2.0196197075058094e14
748.5	2.0183280331771025e14
749.5	2.0168956445115597e14
750.5	2.015484792426854e14
751.5	2.014128204718038e14
752.5	2.01272821852155e14
753.5	2.011399099170873e14
754.5	2.009895713529122e14
755.5	2.0084959659050303e14
756.5	2.0068885735428262e14
757.5	2.005138471511019e14
758.5	2.0033109418925125e14
759.5	2.0015375031426966e14
760.5	1.9996039931593697e14
761.5	1.997608920653677e14
762.5	1.9956017026441875e14
763.5	1.9936982527827556e14
764.5	1.991766380273601e14
765.5	1.989889032401131e14
766.5	1.9880830935844612e14
767.5	1.986432118383189e14
768.5	1.9849200899141838e14
769.5	1.9834140799760766e14
770.5	1.981947575457907e14
771.5	1.9805040389549506e14
772.5	1.9791506177524806e14
773.5	1.977585734653563e14
774.5	1.9759933831965062e14
775.5	1.9743230402543597e14
776.5	1.9726754918202294e14
777.5	1.970983417101648e14
778.5	1.9693142236446812e14
779.5	1.9676173232571806e14
780.5	1.9659434342616938e14
781.5	1.9643265857572484e14
782.5	1.9625464127593462e14
783.5	1.960704286847884e14
784.5	1.9587659837282378e14
785.5	1.9568504317398088e14
786.5	1.9547189500446066e14
787.5	1.9524219967043838e14
788.5	1.950061593951027e14
789.5	1.9477745305210372e14
790.5	1.9453553955814656e14
791.5	1.9428895655174788e14
792.5	1.9406175429926378e14
793.5	1.9385573185344384e14
794.5	1.9364340350542988e14
795.5	1.934351016088083e14
796.5	1.9323430064520072e14
797.5	1.930462220968195e14
798.5	1.9284147709773816e14
799.5	1.9262000708927772e14
800.5	1.9238348966914997e14
801.5	1.9215447101319625e14
802.5	1.919242811836623e14
803.5	1.9169989083219088e14
804.5	1.9147958115311094e14
805.5	1.9127385366952612e14
806.5	1.9107926860125416e14
807.5	1.9088711480258134e14
808.5	1.906956517794369e14
809.5	1.9050313036239028e14
810.5	1.903200976201843e14
811.5	1.9011667236022084e14
812.5	1.899086426530147e14
813.5	1.8969070243159488e14
814.5	1.894698852439635e14
815.5	1.8924441589461022e14
